country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",16-12-2025 21:00,25.32393,82.99687,OZONE,1,8,5
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",16-12-2025 21:00,27.571409,77.655757,NO2,12,12,12
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",16-12-2025 21:00,27.571409,77.655757,SO2,9,17,13
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",16-12-2025 21:00,27.571409,77.655757,OZONE,15,16,15
India,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",16-12-2025 21:00,30.269444,78.044167,SO2,2,2,2
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",16-12-2025 21:00,29.2124114,78.9611753,PM10,96,215,132
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",16-12-2025 21:00,23.685297,86.945968,SO2,17,36,23
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",16-12-2025 21:00,23.685297,86.945968,CO,36,100,56
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",16-12-2025 21:00,23.685297,86.945968,OZONE,14,50,34
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",16-12-2025 21:00,23.697936,86.944395,PM10,85,141,114
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",16-12-2025 21:00,23.697936,86.944395,OZONE,10,53,34
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB",16-12-2025 21:00,23.618183,87.105718,PM10,17,173,106
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB",16-12-2025 21:00,23.618183,87.105718,NH3,1,1,1
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB",16-12-2025 21:00,23.616515,87.119133,PM10,75,144,115
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB",16-12-2025 21:00,23.616515,87.119133,CO,18,88,37
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",16-12-2025 21:00,22.7605581,88.3617589,PM10,94,141,115
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",16-12-2025 21:00,22.7605581,88.3617589,SO2,9,11,10
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",16-12-2025 21:00,23.567923,87.306843,NO2,19,80,44
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",16-12-2025 21:00,23.567923,87.306843,CO,37,105,63
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",16-12-2025 21:00,23.508764,87.35444,PM10,63,144,107
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",16-12-2025 21:00,23.508764,87.35444,SO2,2,9,4
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB (Formerly known as Sidhu Kanhu Indoor Stadium)",16-12-2025 21:00,23.549395,87.300496,NH3,2,3,2
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",16-12-2025 21:00,22.554954,88.292568,PM2.5,68,175,106
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",16-12-2025 21:00,22.554954,88.292568,SO2,11,35,17
